m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut
1.426708e+06,1.285148e+06,0.12141900,7.23594346,1.178473e+06,2.711856e+06,0.90077834,0.24931878,1
1.472079e+06,1.354886e+06,0.12157600,7.22530788,1.229239e+06,2.826965e+06,0.92038997,0.24957037,1
3.653262e+06,1.267524e+06,0.12522100,6.98588102,1.823792e+06,4.920787e+06,0.34695683,0.19123531,1
2.153528e+06,1.210015e+06,0.12956899,6.71789584,1.393816e+06,3.363543e+06,0.56187552,0.23032829,1
1.604370e+06,1.336608e+06,0.13176499,6.58926917,1.273757e+06,2.940977e+06,0.83310454,0.24792769,1
2.559108e+06,1.840419e+06,0.13194500,6.57891551,1.884179e+06,4.399528e+06,0.71916425,0.24332871,1
1.275681e+06,1.196394e+06,0.13397799,6.46391230,1.075368e+06,2.472074e+06,0.93784730,0.24974283,1
1.541320e+06,1.354185e+06,0.13445500,6.43743285,1.257180e+06,2.895505e+06,0.87858805,0.24895576,1
1.303450e+06,1.232480e+06,0.13539401,6.38585128,1.103309e+06,2.535930e+06,0.94555226,0.24980420,1
1.041123e+07,1.338832e+06,0.13539600,6.38574236,2.968445e+06,1.175007e+07,0.12859496,0.10095963,1
1.704650e+06,1.617065e+06,0.13701200,6.29863052,1.445257e+06,3.321715e+06,0.94862004,0.24982619,1
3.413788e+06,2.505211e+06,0.13733700,6.28135904,2.539796e+06,5.918999e+06,0.73385079,0.24410930,1
1.503012e+06,1.254337e+06,0.13767800,6.26332471,1.194339e+06,2.757349e+06,0.83454926,0.24796662,1
1.573206e+06,1.356358e+06,0.13848600,6.22094663,1.270970e+06,2.929565e+06,0.86216161,0.24863024,1
1.787437e+07,1.181414e+06,0.14054400,6.11520961,3.457597e+06,1.905579e+07,0.06609542,0.05815395,1
1.336284e+06,1.266656e+06,0.14083301,6.10060825,1.132509e+06,2.602941e+06,0.94789437,0.24982111,1
1.227679e+06,1.197050e+06,0.14268000,6.00869057,1.055324e+06,2.424730e+06,0.97505135,0.24996011,1
1.896634e+06,1.320648e+06,0.14392100,5.94825620,1.373297e+06,3.217282e+06,0.69631143,0.24198717,1
1.459604e+06,1.279231e+06,0.14401700,5.94362490,1.189042e+06,2.738835e+06,0.87642302,0.24891569,1
1.394070e+07,1.737053e+06,0.14433999,5.92808677,3.903030e+06,1.567775e+07,0.12460303,0.09852130,1
2.945571e+06,1.425314e+06,0.14511400,5.89113365,1.760898e+06,4.370886e+06,0.48388388,0.21975629,1
8.043372e+06,1.301005e+06,0.14597701,5.85039399,2.616497e+06,9.344377e+06,0.16174876,0.11984406,1
1.191850e+07,1.188060e+06,0.14606801,5.84612615,2.931826e+06,1.310656e+07,0.09968205,0.08242950,1
1.354392e+07,1.311695e+06,0.14615200,5.84219148,3.276183e+06,1.485561e+07,0.09684751,0.08050001,1
8.569826e+06,1.250400e+06,0.14649600,5.82612504,2.627776e+06,9.820226e+06,0.14590729,0.11111636,1
1.381438e+06,1.321469e+06,0.14668600,5.81728305,1.176161e+06,2.702907e+06,0.95658945,0.24987694,1
1.785931e+06,1.565810e+06,0.14719699,5.79361703,1.455152e+06,3.351742e+06,0.87674722,0.24892174,1
2.796974e+06,1.248939e+06,0.14729600,5.78905078,1.601527e+06,4.045912e+06,0.44653214,0.21340105,1
1.362709e+06,1.303403e+06,0.14747000,5.78104033,1.160148e+06,2.666112e+06,0.95647923,0.24987630,1
1.485799e+06,1.247175e+06,0.14836800,5.73999780,1.184146e+06,2.732973e+06,0.83939673,0.24809411,1
1.419314e+06,1.308481e+06,0.14911699,5.70614382,1.186165e+06,2.727795e+06,0.92191114,0.24958728,1
2.144553e+06,1.208779e+06,0.14912300,5.70587376,1.390320e+06,3.353332e+06,0.56365095,0.23053168,1
2.031562e+07,1.266923e+06,0.14920799,5.70205376,3.797762e+06,2.158254e+07,0.06236204,0.05525547,1
1.477369e+06,1.384159e+06,0.14971399,5.67940237,1.244759e+06,2.861528e+06,0.93690760,0.24973474,1
1.998627e+06,1.201082e+06,0.15001400,5.66604458,1.340172e+06,3.199709e+06,0.60095355,0.23446793,1
5.931208e+06,1.300409e+06,0.15036400,5.65052820,2.293437e+06,7.231617e+06,0.21924859,0.14748650,1
2.359197e+07,1.664142e+06,0.15045001,5.64672622,4.741322e+06,2.525611e+07,0.07053851,0.06154910,1
2.550089e+06,1.627236e+06,0.15089899,5.62694946,1.764509e+06,4.177325e+06,0.63810975,0.23779865,1
1.689076e+06,1.293413e+06,0.15099400,5.62277959,1.284447e+06,2.982489e+06,0.76575191,0.24560020,1
3.088633e+06,1.289266e+06,0.15109500,5.61835257,1.705345e+06,4.377899e+06,0.41742294,0.20776740,1
1.584426e+06,1.385533e+06,0.15135300,5.60707082,1.289268e+06,2.969959e+06,0.87447008,0.24887881,1
3.506230e+07,1.276943e+06,0.15152600,5.59952730,4.770149e+06,3.633924e+07,0.03641925,0.03390471,1
2.228787e+06,1.403015e+06,0.15198100,5.57977001,1.531278e+06,3.631801e+06,0.62949704,0.23707543,1
3.341054e+06,1.293201e+06,0.15261300,5.55252178,1.770654e+06,4.634255e+06,0.38706363,0.20118222,1
1.462597e+06,1.420167e+06,0.15298600,5.53654562,1.254633e+06,2.882764e+06,0.97099004,0.24994584,1
2.884116e+07,3.779717e+06,0.15378299,5.50266962,8.313503e+06,3.262088e+07,0.13105287,0.10244263,1
1.393348e+06,1.231975e+06,0.15389501,5.49793667,1.140146e+06,2.625323e+06,0.88418330,0.24905543,1
