m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap,p_orb_isco_rest_days,p_orb_isco_obs_days,in_stripe82,in_ptf,in_lsst,expected_sin_stripe82,expected_saw_stripe82,expected_sin_lsst,expected_saw_lsst
1.426708e+06,1.426708e+06,0.12141900,7.23594346,1.242021e+06,2.853416e+06,1.00000000,0.25000000,1,1.541021e-03,lisa,0,1,0,1.502130e-02,1.237146e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.472079e+06,1.472079e+06,0.12157600,7.22530788,1.281519e+06,2.944157e+06,1.00000000,0.25000000,1,1.493526e-03,lisa,0,1,0,1.549899e-02,1.274840e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.267524e+06,1.267524e+06,0.12522100,6.98588102,1.103444e+06,2.535049e+06,1.00000000,0.25000000,1,1.734552e-03,lisa,0,1,0,1.334532e-02,1.065741e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.153528e+06,2.153528e+06,0.12956899,6.71789584,1.874755e+06,4.307056e+06,1.00000000,0.25000000,1,1.020923e-03,lisa,0,1,0,2.267374e-02,1.749935e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.336608e+06,1.336608e+06,0.13176499,6.58926917,1.163584e+06,2.673215e+06,1.00000000,0.25000000,1,1.644901e-03,lisa,0,1,0,1.407267e-02,1.068013e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.840419e+06,1.840419e+06,0.13194500,6.57891551,1.602178e+06,3.680838e+06,1.00000000,0.25000000,1,1.194612e-03,lisa,0,1,0,1.937712e-02,1.468576e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.196394e+06,1.196394e+06,0.13397799,6.46391230,1.041521e+06,2.392787e+06,1.00000000,0.25000000,1,1.837679e-03,lisa,0,1,0,1.259640e-02,9.401845e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.354185e+06,1.354185e+06,0.13445500,6.43743285,1.178887e+06,2.708370e+06,1.00000000,0.25000000,1,1.623550e-03,lisa,0,1,0,1.425774e-02,1.060410e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.303450e+06,1.303450e+06,0.13539401,6.38585128,1.134719e+06,2.606900e+06,1.00000000,0.25000000,1,1.686745e-03,lisa,0,1,0,1.372356e-02,1.013602e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.041123e+07,1.041123e+07,0.13539600,6.38574236,9.063506e+06,2.082247e+07,1.00000000,0.25000000,1,2.111745e-04,gap,0,0,1,1.096162e-01,8.095970e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.704650e+06,1.704650e+06,0.13701200,6.29863052,1.483984e+06,3.409300e+06,1.00000000,0.25000000,1,1.289759e-03,lisa,0,1,0,1.794766e-02,1.309933e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.505211e+06,2.505211e+06,0.13733700,6.28135904,2.180913e+06,5.010422e+06,1.00000000,0.25000000,1,8.776057e-04,lisa,0,1,0,2.637648e-02,1.920566e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.503012e+06,1.503012e+06,0.13767800,6.26332471,1.308448e+06,3.006023e+06,1.00000000,0.25000000,1,1.462788e-03,lisa,0,1,0,1.582468e-02,1.149398e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.573206e+06,1.573206e+06,0.13848600,6.22094663,1.369556e+06,3.146413e+06,1.00000000,0.25000000,1,1.397520e-03,lisa,0,1,0,1.656373e-02,1.196058e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.787437e+07,1.787437e+07,0.14054400,6.11520961,1.556055e+07,3.574875e+07,1.00000000,0.25000000,1,1.230022e-04,gap,0,0,1,1.881929e-01,1.339032e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
1.336284e+06,1.336284e+06,0.14083301,6.10060825,1.163303e+06,2.672569e+06,1.00000000,0.25000000,1,1.645299e-03,lisa,0,1,0,1.406926e-02,9.990033e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.227679e+06,1.227679e+06,0.14268000,6.00869057,1.068757e+06,2.455359e+06,1.00000000,0.25000000,1,1.790848e-03,lisa,0,1,0,1.292580e-02,9.059294e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.896634e+06,1.896634e+06,0.14392100,5.94825620,1.651116e+06,3.793268e+06,1.00000000,0.25000000,1,1.159205e-03,lisa,0,1,0,1.996899e-02,1.387497e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.459604e+06,1.459604e+06,0.14401700,5.94362490,1.270659e+06,2.919209e+06,1.00000000,0.25000000,1,1.506290e-03,lisa,0,1,0,1.536766e-02,1.067072e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.394070e+07,1.394070e+07,0.14433999,5.92808677,1.213608e+07,2.788140e+07,1.00000000,0.25000000,1,1.577100e-04,gap,0,0,1,1.467767e-01,1.016882e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
1.425314e+06,1.425314e+06,0.14511400,5.89113365,1.240808e+06,2.850629e+06,1.00000000,0.25000000,1,1.542528e-03,lisa,0,1,0,1.500663e-02,1.034127e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
8.043372e+06,8.043372e+06,0.14597701,5.85039399,7.002162e+06,1.608674e+07,1.00000000,0.25000000,1,2.733415e-04,gap,0,0,1,8.468581e-02,5.801312e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.188060e+06,1.188060e+06,0.14606801,5.84612615,1.034267e+06,2.376120e+06,1.00000000,0.25000000,1,1.850569e-03,lisa,0,1,0,1.250867e-02,8.563590e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.354392e+07,1.354392e+07,0.14615200,5.84219148,1.179067e+07,2.708784e+07,1.00000000,0.25000000,1,1.623302e-04,gap,0,0,1,1.425991e-01,9.756905e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
8.569826e+06,8.569826e+06,0.14649600,5.82612504,7.460467e+06,1.713965e+07,1.00000000,0.25000000,1,2.565498e-04,gap,0,0,1,9.022866e-02,6.159121e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.321469e+06,1.321469e+06,0.14668600,5.81728305,1.150405e+06,2.642938e+06,1.00000000,0.25000000,1,1.663745e-03,lisa,0,1,0,1.391328e-02,9.485076e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
1.785931e+06,1.785931e+06,0.14719699,5.79361703,1.554744e+06,3.571863e+06,1.00000000,0.25000000,1,1.231059e-03,lisa,0,1,0,1.880344e-02,1.277434e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.796974e+06,2.796974e+06,0.14729600,5.78905078,2.434907e+06,5.593947e+06,1.00000000,0.25000000,1,7.860594e-04,lisa,0,1,0,2.944835e-02,1.999263e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.362709e+06,1.362709e+06,0.14747000,5.78104033,1.186307e+06,2.725418e+06,1.00000000,0.25000000,1,1.613395e-03,lisa,0,1,0,1.434748e-02,9.729084e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
