m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
1.426708e+06,1.426708e+06,0.12141900,7.23594346,1.242021e+06,2.853416e+06,1.00000000,0.25000000,1,1.541021e-03,lisa,0,1,0
1.472079e+06,1.472079e+06,0.12157600,7.22530788,1.281519e+06,2.944157e+06,1.00000000,0.25000000,1,1.493526e-03,lisa,0,1,0
1.267524e+06,1.267524e+06,0.12522100,6.98588102,1.103444e+06,2.535049e+06,1.00000000,0.25000000,1,1.734552e-03,lisa,0,1,0
2.153528e+06,2.153528e+06,0.12956899,6.71789584,1.874755e+06,4.307056e+06,1.00000000,0.25000000,1,1.020923e-03,lisa,0,1,0
1.336608e+06,1.336608e+06,0.13176499,6.58926917,1.163584e+06,2.673215e+06,1.00000000,0.25000000,1,1.644901e-03,lisa,0,1,0
1.840419e+06,1.840419e+06,0.13194500,6.57891551,1.602178e+06,3.680838e+06,1.00000000,0.25000000,1,1.194612e-03,lisa,0,1,0
1.196394e+06,1.196394e+06,0.13397799,6.46391230,1.041521e+06,2.392787e+06,1.00000000,0.25000000,1,1.837679e-03,lisa,0,1,0
1.354185e+06,1.354185e+06,0.13445500,6.43743285,1.178887e+06,2.708370e+06,1.00000000,0.25000000,1,1.623550e-03,lisa,0,1,0
1.303450e+06,1.303450e+06,0.13539401,6.38585128,1.134719e+06,2.606900e+06,1.00000000,0.25000000,1,1.686745e-03,lisa,0,1,0
1.041123e+07,1.041123e+07,0.13539600,6.38574236,9.063506e+06,2.082247e+07,1.00000000,0.25000000,1,2.111745e-04,gap,0,0,1
1.704650e+06,1.704650e+06,0.13701200,6.29863052,1.483984e+06,3.409300e+06,1.00000000,0.25000000,1,1.289759e-03,lisa,0,1,0
2.505211e+06,2.505211e+06,0.13733700,6.28135904,2.180913e+06,5.010422e+06,1.00000000,0.25000000,1,8.776057e-04,lisa,0,1,0
1.503012e+06,1.503012e+06,0.13767800,6.26332471,1.308448e+06,3.006023e+06,1.00000000,0.25000000,1,1.462788e-03,lisa,0,1,0
1.573206e+06,1.573206e+06,0.13848600,6.22094663,1.369556e+06,3.146413e+06,1.00000000,0.25000000,1,1.397520e-03,lisa,0,1,0
1.787437e+07,1.787437e+07,0.14054400,6.11520961,1.556055e+07,3.574875e+07,1.00000000,0.25000000,1,1.230022e-04,gap,0,0,1
1.336284e+06,1.336284e+06,0.14083301,6.10060825,1.163303e+06,2.672569e+06,1.00000000,0.25000000,1,1.645299e-03,lisa,0,1,0
1.227679e+06,1.227679e+06,0.14268000,6.00869057,1.068757e+06,2.455359e+06,1.00000000,0.25000000,1,1.790848e-03,lisa,0,1,0
1.896634e+06,1.896634e+06,0.14392100,5.94825620,1.651116e+06,3.793268e+06,1.00000000,0.25000000,1,1.159205e-03,lisa,0,1,0
1.459604e+06,1.459604e+06,0.14401700,5.94362490,1.270659e+06,2.919209e+06,1.00000000,0.25000000,1,1.506290e-03,lisa,0,1,0
1.394070e+07,1.394070e+07,0.14433999,5.92808677,1.213608e+07,2.788140e+07,1.00000000,0.25000000,1,1.577100e-04,gap,0,0,1
1.425314e+06,1.425314e+06,0.14511400,5.89113365,1.240808e+06,2.850629e+06,1.00000000,0.25000000,1,1.542528e-03,lisa,0,1,0
8.043372e+06,8.043372e+06,0.14597701,5.85039399,7.002162e+06,1.608674e+07,1.00000000,0.25000000,1,2.733415e-04,gap,0,0,1
1.188060e+06,1.188060e+06,0.14606801,5.84612615,1.034267e+06,2.376120e+06,1.00000000,0.25000000,1,1.850569e-03,lisa,0,1,0
1.354392e+07,1.354392e+07,0.14615200,5.84219148,1.179067e+07,2.708784e+07,1.00000000,0.25000000,1,1.623302e-04,gap,0,0,1
8.569826e+06,8.569826e+06,0.14649600,5.82612504,7.460467e+06,1.713965e+07,1.00000000,0.25000000,1,2.565498e-04,gap,0,0,1
1.321469e+06,1.321469e+06,0.14668600,5.81728305,1.150405e+06,2.642938e+06,1.00000000,0.25000000,1,1.663745e-03,lisa,0,1,0
