m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap
1.426708e+06,1.285148e+06,0.12141900,7.23594330,1.178473e+06,2.711856e+06,0.90077858,0.24931878,1,1.621463e-03,lisa,0,1,0
1.472079e+06,1.354886e+06,0.12157600,7.22530763,1.229239e+06,2.826965e+06,0.92038946,0.24957036,1,1.555440e-03,lisa,0,1,0
3.653262e+06,1.267524e+06,0.12522100,6.98588096,1.823792e+06,4.920786e+06,0.34695677,0.19123530,1,8.935920e-04,lisa,0,1,0
2.153528e+06,1.210015e+06,0.12956899,6.71789608,1.393816e+06,3.363543e+06,0.56187568,0.23032830,1,1.307304e-03,lisa,0,1,0
1.604370e+06,1.336608e+06,0.13176499,6.58926935,1.273758e+06,2.940978e+06,0.83310458,0.24792769,1,1.495140e-03,lisa,0,1,0
2.559108e+06,1.840419e+06,0.13194500,6.57891546,1.884178e+06,4.399527e+06,0.71916426,0.24332871,1,9.994653e-04,lisa,0,1,0
1.275681e+06,1.196394e+06,0.13397799,6.46391254,1.075369e+06,2.472075e+06,0.93784731,0.24974283,1,1.778738e-03,lisa,0,1,0
1.541320e+06,1.354185e+06,0.13445500,6.43743260,1.257180e+06,2.895505e+06,0.87858783,0.24895576,1,1.518621e-03,lisa,0,1,0
1.303450e+06,1.232480e+06,0.13539401,6.38585112,1.103309e+06,2.535930e+06,0.94555219,0.24980420,1,1.733950e-03,lisa,0,1,0
1.041123e+07,1.338832e+06,0.13539600,6.38574256,2.968444e+06,1.175006e+07,0.12859499,0.10095964,1,3.742257e-04,gap,0,0,1
1.704650e+06,1.617065e+06,0.13701200,6.29863078,1.445257e+06,3.321715e+06,0.94861995,0.24982619,1,1.323766e-03,lisa,0,1,0
3.413788e+06,2.505211e+06,0.13733700,6.28135899,2.539796e+06,5.918999e+06,0.73385078,0.24410930,1,7.428916e-04,lisa,0,1,0
1.503012e+06,1.254337e+06,0.13767800,6.26332457,1.194339e+06,2.757349e+06,0.83454889,0.24796661,1,1.594711e-03,lisa,0,1,0
1.573206e+06,1.356358e+06,0.13848600,6.22094652,1.270970e+06,2.929564e+06,0.86216173,0.24863024,1,1.500966e-03,lisa,0,1,0
1.787437e+07,1.181414e+06,0.14054400,6.11520947,3.457597e+06,1.905578e+07,0.06609542,0.05815395,1,2.307528e-04,gap,0,0,1
1.336284e+06,1.266656e+06,0.14083301,6.10060802,1.132509e+06,2.602940e+06,0.94789431,0.24982111,1,1.689311e-03,lisa,0,1,0
1.227679e+06,1.197050e+06,0.14268000,6.00869078,1.055324e+06,2.424729e+06,0.97505130,0.24996011,1,1.813471e-03,lisa,0,1,0
1.896634e+06,1.320648e+06,0.14392100,5.94825634,1.373297e+06,3.217282e+06,0.69631147,0.24198718,1,1.366736e-03,lisa,0,1,0
1.459604e+06,1.279231e+06,0.14401700,5.94362471,1.189042e+06,2.738835e+06,0.87642333,0.24891570,1,1.605491e-03,lisa,0,1,0
1.394070e+07,1.737053e+06,0.14433999,5.92808694,3.903029e+06,1.567775e+07,0.12460300,0.09852127,1,2.804723e-04,gap,0,0,1
2.945571e+06,1.425314e+06,0.14511400,5.89113387,1.760898e+06,4.370885e+06,0.48388377,0.21975628,1,1.006015e-03,lisa,0,1,0
8.043372e+06,1.301005e+06,0.14597701,5.85039377,2.616497e+06,9.344377e+06,0.16174870,0.11984403,1,4.705691e-04,gap,0,0,1
1.191850e+07,1.188060e+06,0.14606801,5.84612599,2.931826e+06,1.310656e+07,0.09968201,0.08242948,1,3.354942e-04,gap,0,0,1
1.354392e+07,1.311695e+06,0.14615200,5.84219169,3.276183e+06,1.485562e+07,0.09684752,0.08050002,1,2.959941e-04,gap,0,0,1
8.569826e+06,1.250400e+06,0.14649600,5.82612495,2.627776e+06,9.820226e+06,0.14590728,0.11111636,1,4.477672e-04,gap,0,0,1
1.381438e+06,1.321469e+06,0.14668600,5.81728318,1.176161e+06,2.702907e+06,0.95658944,0.24987694,1,1.626832e-03,lisa,0,1,0
1.785931e+06,1.565810e+06,0.14719699,5.79361718,1.455151e+06,3.351741e+06,0.87674720,0.24892174,1,1.311908e-03,lisa,0,1,0
2.796974e+06,1.248939e+06,0.14729600,5.78905062,1.601528e+06,4.045913e+06,0.44653222,0.21340106,1,1.086819e-03,lisa,0,1,0
1.362709e+06,1.303403e+06,0.14747000,5.78104021,1.160148e+06,2.666112e+06,0.95647934,0.24987630,1,1.649284e-03,lisa,0,1,0
1.485799e+06,1.247175e+06,0.14836800,5.73999784,1.184146e+06,2.732974e+06,0.83939685,0.24809411,1,1.608934e-03,lisa,0,1,0
1.419314e+06,1.308481e+06,0.14911699,5.70614395,1.186165e+06,2.727795e+06,0.92191087,0.24958728,1,1.611989e-03,lisa,0,1,0
2.144553e+06,1.208779e+06,0.14912300,5.70587367,1.390320e+06,3.353332e+06,0.56365079,0.23053166,1,1.311285e-03,lisa,0,1,0
2.031562e+07,1.266923e+06,0.14920799,5.70205396,3.797761e+06,2.158254e+07,0.06236202,0.05525544,1,2.037376e-04,gap,0,0,1
1.477369e+06,1.384159e+06,0.14971399,5.67940251,1.244759e+06,2.861528e+06,0.93690811,0.24973474,1,1.536653e-03,lisa,0,1,0
1.998627e+06,1.201082e+06,0.15001400,5.66604450,1.340172e+06,3.199709e+06,0.60095355,0.23446793,1,1.374242e-03,lisa,0,1,0
5.931208e+06,1.300409e+06,0.15036400,5.65052805,2.293437e+06,7.231617e+06,0.21924859,0.14748651,1,6.080486e-04,gap,0,0,1
2.359197e+07,1.664142e+06,0.15045001,5.64672605,4.741322e+06,2.525611e+07,0.07053849,0.06154908,1,1.741034e-04,gap,0,0,1
2.550089e+06,1.627236e+06,0.15089899,5.62694959,1.764509e+06,4.177325e+06,0.63810949,0.23779863,1,1.052629e-03,lisa,0,1,0
1.689076e+06,1.293413e+06,0.15099400,5.62277971,1.284447e+06,2.982489e+06,0.76575181,0.24560020,1,1.474331e-03,lisa,0,1,0
3.088633e+06,1.289266e+06,0.15109500,5.61835269,1.705345e+06,4.377899e+06,0.41742285,0.20776738,1,1.004403e-03,lisa,0,1,0
1.584426e+06,1.385533e+06,0.15135300,5.60707089,1.289268e+06,2.969959e+06,0.87447000,0.24887881,1,1.480551e-03,lisa,0,1,0
3.506230e+07,1.276943e+06,0.15152600,5.59952747,4.770149e+06,3.633924e+07,0.03641926,0.03390472,1,1.210035e-04,gap,0,0,1
2.228787e+06,1.403015e+06,0.15198100,5.57976984,1.531278e+06,3.631802e+06,0.62949712,0.23707543,1,1.210742e-03,lisa,0,1,0
3.341054e+06,1.293201e+06,0.15261300,5.55252174,1.770654e+06,4.634255e+06,0.38706378,0.20118226,1,9.488418e-04,lisa,0,1,0
1.462597e+06,1.420167e+06,0.15298600,5.53654583,1.254633e+06,2.882764e+06,0.97098996,0.24994584,1,1.525333e-03,lisa,0,1,0
2.884116e+07,3.779717e+06,0.15378299,5.50266977,8.313503e+06,3.262088e+07,0.13105288,0.10244264,1,1.347963e-04,gap,0,0,1
1.393348e+06,1.231975e+06,0.15389501,5.49793648,1.140146e+06,2.625323e+06,0.88418328,0.24905543,1,1.674908e-03,lisa,0,1,0
4.565441e+07,1.669501e+06,0.15405700,5.49110394,6.226235e+06,4.732391e+07,0.03656823,0.03403362,1,9.291655e-05,gap,0,0,1
