m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut,f_isco_hz,band,in_pta,in_lisa,in_gap,p_orb_isco_rest_days,p_orb_isco_obs_days,in_stripe82,in_ptf,in_lsst,expected_sin_stripe82,expected_saw_stripe82,expected_sin_lsst,expected_saw_lsst
7.409352e+08,2.195645e+08,0.80450987,0.24299283,3.390830e+08,9.604997e+08,0.29633427,0.17633880,1,4.578007e-06,gap,0,0,1,5.056381e+00,6.285045e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
1.564560e+07,1.089927e+07,0.79786643,0.25334261,1.133125e+07,2.654487e+07,0.69663493,0.24200728,1,1.656506e-04,lisa,0,1,0,1.397408e-01,1.751431e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.963313e+09,1.551362e+09,0.44188652,1.26302444,1.517206e+09,3.514675e+09,0.79017537,0.24656551,1,1.251090e-06,gap,0,0,1,1.850238e+01,4.187135e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
3.067893e+08,7.668889e+07,0.32565878,2.07069876,1.277013e+08,3.834781e+08,0.24997253,0.15998945,1,1.146656e-05,gap,0,0,1,2.018753e+00,6.198982e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
2.957241e+05,4.124537e+04,0.51265967,0.95061181,8.835661e+04,3.369695e+05,0.13947246,0.10741892,0,1.304918e-02,lisa,0,1,0,1.773916e-03,3.460222e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
7.552866e+09,3.743417e+09,0.40999541,1.43905168,4.573417e+09,1.129628e+10,0.49562864,0.22156892,1,3.892586e-07,gap,0,0,1,5.946728e+01,1.450438e+02,0,1,1,0.0000,0.0000,0.2300,0.0100
6.392909e+08,5.092730e+08,0.57705194,0.73294627,4.960877e+08,1.148564e+09,0.79662168,0.24679642,1,3.828411e-06,gap,0,0,1,6.046411e+00,1.047811e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
8.517684e+08,5.840592e+08,0.98554228,0.01466981,6.118523e+08,1.435828e+09,0.68570185,0.24130915,1,3.062467e-06,gap,0,0,1,7.558660e+00,7.669544e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
4.370873e+05,3.198139e+05,0.42674996,1.34329255,3.246919e+05,7.569012e+05,0.73169355,0.24399850,0,5.809443e-03,lisa,0,1,0,3.984572e-03,9.337019e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
1.786198e+07,8.262157e+06,0.52321176,0.91127202,1.042331e+07,2.612414e+07,0.46255541,0.21624153,1,1.683184e-04,lisa,0,1,0,1.375259e-01,2.628494e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
7.144801e+06,2.225255e+06,0.80758002,0.23826738,3.361039e+06,9.370056e+06,0.31145099,0.18108630,1,4.692795e-04,lisa,0,1,0,4.932700e-02,6.108002e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
4.303531e+09,2.490027e+09,0.65642795,0.52339644,2.828772e+09,6.793558e+09,0.57860096,0.23218514,1,6.472565e-07,gap,0,0,1,3.576349e+01,5.448197e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.657012e+08,4.704739e+07,0.33074970,2.02343433,7.405312e+07,2.127486e+08,0.28392912,0.17223755,1,2.066841e-05,gap,0,0,1,1.119977e+00,3.386177e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
1.299595e+09,9.793824e+08,0.41318301,1.42023503,9.801854e+08,2.278978e+09,0.75360583,0.24506443,1,1.929451e-06,gap,0,0,1,1.199727e+01,2.903622e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.648432e+07,4.570604e+06,0.95467469,0.04747723,7.270362e+06,2.105492e+07,0.27726981,0.16995631,1,2.088431e-04,lisa,0,1,0,1.108399e-01,1.161023e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.368339e+06,4.955260e+05,0.37221549,1.68661572,6.993155e+05,1.863865e+06,0.36213694,0.19517819,1,2.359171e-03,lisa,0,1,0,9.811986e-03,2.636104e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
5.928215e+07,3.295437e+07,0.74456495,0.34306617,3.815238e+07,9.223652e+07,0.55589030,0.22963133,1,4.767282e-05,gap,0,0,1,4.855628e-01,6.521430e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.084905e+05,1.121760e+05,0.85462795,0.17009980,1.318806e+05,3.206665e+05,0.53803894,0.22744639,0,1.371261e-02,lisa,0,1,0,1.688092e-03,1.975236e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
1.374535e+09,8.807533e+08,0.48580734,1.05842915,9.531597e+08,2.255288e+09,0.64076444,0.23801588,1,1.949717e-06,gap,0,0,1,1.187257e+01,2.443884e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.439866e+08,7.108619e+07,0.80755460,0.23830636,8.700561e+07,2.150728e+08,0.49370014,0.22127707,1,2.044506e-05,gap,0,0,1,1.132212e+00,1.402026e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
6.172182e+08,5.724859e+08,0.41892663,1.38705286,5.174094e+08,1.189704e+09,0.92752598,0.24964657,1,3.696024e-06,gap,0,0,1,6.262986e+00,1.495008e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
5.924202e+06,5.070765e+06,0.49932519,1.00270288,4.768516e+06,1.099497e+07,0.85594068,0.24849376,1,3.999261e-04,lisa,0,1,0,5.788106e-02,1.159186e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
7.136580e+09,6.360135e+09,0.51827542,0.92947602,5.863113e+09,1.349671e+10,0.89120211,0.24917262,1,3.257959e-07,gap,0,0,1,7.105106e+01,1.370913e+02,0,1,1,0.0000,0.0000,0.2300,0.0100
2.921498e+09,1.947368e+09,0.99750449,0.00250175,2.067981e+09,4.868866e+09,0.66656491,0.23999267,1,9.031209e-07,gap,0,0,1,2.563128e+01,2.569541e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
7.796820e+08,5.235620e+08,0.45020061,1.22123201,5.540210e+08,1.303244e+09,0.67150712,0.24034448,1,3.374023e-06,gap,0,0,1,6.860697e+00,1.523920e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
9.401422e+05,6.094743e+05,0.39044523,1.56117871,6.559104e+05,1.549616e+06,0.64827882,0.23861650,1,2.837589e-03,lisa,0,1,0,8.157681e-03,2.089328e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
2.155783e+07,1.059343e+07,0.94798401,0.05487012,1.299407e+07,3.215125e+07,0.49139574,0.22092537,1,1.367653e-04,lisa,0,1,0,1.692546e-01,1.785416e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
1.655842e+05,6.456051e+04,0.41335149,1.41924859,8.810312e+04,2.301447e+05,0.38989540,0.20182914,0,1.910613e-02,lisa,0,1,0,1.211556e-03,2.931055e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
5.908095e+05,3.738658e+05,0.91549594,0.09230413,4.070256e+05,9.646753e+05,0.63280260,0.23735637,0,4.558192e-03,lisa,0,1,0,5.078362e-03,5.547116e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
2.601625e+08,3.199444e+07,0.75531964,0.32394280,7.228835e+07,2.921570e+08,0.12297865,0.09751844,1,1.505073e-05,gap,0,0,1,1.538009e+00,2.036236e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
5.294327e+08,5.649618e+07,0.70380305,0.42085204,1.354968e+08,5.859289e+08,0.10671079,0.08712445,1,7.504622e-06,gap,0,0,1,3.084519e+00,4.382645e+00,0,0,0,0.0000,0.0000,0.0000,0.0000
6.879370e+09,5.960820e+09,0.82593710,0.21074595,5.571839e+09,1.284019e+10,0.86647764,0.24872061,1,3.424540e-07,gap,0,0,1,6.759491e+01,8.184026e+01,0,0,0,0.0000,0.0000,0.0000,0.0000
4.257227e+06,6.035966e+05,0.80819927,0.23731861,1.284051e+06,4.860823e+06,0.14178164,0.10875617,1,9.046152e-04,lisa,0,1,0,2.558894e-02,3.166168e-02,0,0,0,0.0000,0.0000,0.0000,0.0000
7.117026e+06,4.073185e+06,0.37736833,1.64993089,4.651274e+06,1.119021e+07,0.57231564,0.23150274,1,3.929483e-04,lisa,0,1,0,5.890888e-02,1.561045e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
2.227302e+07,1.455517e+07,0.99962628,0.00037386,1.560421e+07,3.682819e+07,0.65348899,0.23902078,1,1.193970e-04,lisa,0,1,0,1.938755e-01,1.939480e-01,0,0,0,0.0000,0.0000,0.0000,0.0000
8.858431e+05,2.465781e+05,0.95932281,0.04240199,3.915481e+05,1.132421e+06,0.27835411,0.17033163,0,3.882985e-03,lisa,0,1,0,5.961431e-03,6.214207e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
4.462801e+05,4.044002e+05,0.92761437,0.07803418,3.697414e+05,8.506803e+05,0.90615775,0.24939407,0,5.169010e-03,lisa,0,1,0,4.478256e-03,4.827713e-03,0,0,0,0.0000,0.0000,0.0000,0.0000
